"tokenId","level","biome","elevation","zoneName","xCoordinate","yCoordinate","seedValue","structureSpaceX","structureSpaceY","structureSpaceZ","chroma","mode","questionMarks"
1,"13","32","1","Hypermage","9","5","3043","1906272","1059040","19433487","Pulse","Origin Daydream",52453
2,"7","63","0","Jadeite","20","14","431","6777856","5507008","10378682","Flow","Origin Daydream",53941
3,"5","90","-3","Tetsu","14","3","1648","6354240","4024352","6936802","Flow","Origin Daydream",28709
4,"13","53","-1","Dynacrypts","36","16","6027","7625088","3388928","19115775","Flow","Origin Daydream",36824
5,"13","67","1","Hypermage","17","26","140","3600736","5507008","19433487","Pulse","Origin Daydream",33182
6,"7","26","0","Jadeite","19","5","1009","6566048","3600736","10378682","Flow","Origin Daydream",25684
7,"13","40","-3","Valeria","38","26","9703","8048704","5507008","18798063","Flow","Origin Daydream",53082
8,"14","49","4","Holo","12","13","7060","2541696","2753504","21392716","Flow","Origin Daydream",52921
9,"7","49","2","Zerinia","17","15","840","6142432","5718816","10696394","Flow","Origin Daydream",46884
10,"13","45","2","Nightrose","1","3","8396","211808","635424","19592343","Pulse","Origin Daydream",51064
11,"13","52","2","Nightrose","0","46","7146","0","9743168","19592343","Flow","Origin Daydream",24132
12,"14","57","1","Hyphae","22","12","8245","4659776","2541696","20916148","Flow","Origin Daydream",23061
13,"6","26","0","Angel","23","14","5153","7413280","5507008","8896026","Hyper","Origin Daydream",42389
14,"13","62","1","Hypermage","4","27","8600","847232","5718816","19433487","Flow","Origin Daydream",29246
15,"12","30","-1","Muxtai X1","5","7","1569","4447968","4871584","17633115","Pulse","Origin Daydream",45913
16,"6","39","0","Angel","0","16","4216","2541696","5930624","8896026","Flow","Origin Daydream",46910
17,"11","51","1","[BLOOD]","13","30","6611","4447968","8048704","16468166","Flow","Origin Daydream",53030
18,"11","45","1","[BLOOD]","29","17","3059","7836896","5295200","16468166","Pulse","Origin Daydream",51458
19,"14","4","-1","Exduo","31","26","8578","6566048","5507008","20598436","Pulse","Origin Daydream",44107
20,"14","4","-4","Holo","23","16","3746","4871584","3388928","20121868","Pulse","Origin Daydream",24179
21,"17","52","1","Alto","5","3","885","4447968","4024352","25364129","Flow","Origin Daydream",48758
22,"13","62","2","Nightrose","41","15","2308","8684128","3177120","19592343","Flow","Origin Daydream",26133
23,"6","21","-2","Rocket","15","8","3165","5718816","4236160","8578314","Flow","Origin Daydream",50607
24,"11","83","0","[DARK]","30","6","9928","8048704","2965312","16309310","Pulse","Origin Terraform",36776
25,"10","25","4","[MOON]","13","20","3131","4447968","5930624","15462074","Flow","Origin Daydream",50066
26,"15","36","-1","Avidana","6","22","6327","3812544","7201472","22081096","Flow","Origin Daydream",22972
27,"18","59","1","Alto","5","3","1007","5295200","4871584","26846790","Flow","Origin Daydream",28351
28,"14","37","-2","Radiant","5","6","39","1059040","1270848","20439580","Flow","Origin Daydream",50225
29,"16","50","2","Blossom","10","9","3400","4659776","4447968","24040325","Flow","Origin Daydream",28804
30,"14","42","-3","Warp","17","28","3649","3600736","5930624","20280724","Flow","Origin Daydream",25057
31,"17","72","4","Alto","11","2","3105","5718816","3812544","25840697","Flow","Origin Daydream",21059
32,"11","29","4","[HOME]","20","0","6518","5930624","1694464","16944734","Flow","Origin Daydream",35026
33,"13","44","1","Hypermage","15","6","2660","3177120","1270848","19433487","Pulse","Origin Daydream",28890
34,"7","9","4","Mt Zuka","12","4","2939","5083392","3388928","11014106","Flow","Origin Daydream",28247
35,"14","71","4","Holo","28","40","7012","5930624","8472320","21392716","Hyper","Origin Daydream",36788
36,"8","2","0","Calyx","1","7","4325","2753504","4024352","11861338","Flow","Origin Terraform",39820
37,"15","31","0","Pepo","19","23","813","6566048","7413280","22239952","Flow","Origin Daydream",40811
38,"7","4","2","Zerinia","11","5","960","4871584","3600736","10696394","Flow","Origin Daydream",25156
39,"8","30","-1","Akileaf","1","9","9620","2753504","4447968","11702482","Flow","Origin Daydream",42218
40,"7","50","0","Jadeite","4","16","3360","3388928","5930624","10378682","Flow","Origin Daydream",35555
41,"14","72","1","Hyphae","44","32","9428","9319552","6777856","20916148","Pulse","Origin Daydream",32754
42,"13","67","2","Nightrose","23","12","2422","4871584","2541696","19592343","Flow","Origin Daydream",52978
43,"11","28","2","[BOSS]","20","11","5808","5930624","4024352","16627022","Flow","Origin Daydream",29451
44,"4","58","3","Kairo","14","0","3092","6354240","3388928","6407282","Flow","Origin Daydream",43620
45,"11","65","-1","[WEN]","6","2","3876","2965312","2118080","16150454","Hyper","Origin Daydream",38081
46,"11","48","-1","[WEN]","3","18","5675","2329888","5507008","16150454","Flow","Origin Daydream",32086
47,"14","44","4","Holo","28","35","8230","5930624","7413280","21392716","Flow","Origin Daydream",20967
48,"14","80","-4","Holo","35","8","3389","7413280","1694464","20121868","Flow","Origin Daydream",43686
49,"14","45","0","Riso","1","3","5383","211808","635424","20757292","Pulse","Origin Daydream",18390
50,"9","5","0","Aria","15","15","4584","6566048","6566048","13343994","Flow","Origin Daydream",53863
51,"7","71","3","First Earth","7","20","5661","4024352","6777856","10855250","Hyper","Origin Daydream",36009
52,"4","58","0","Kairo","8","12","6423","5083392","5930624","5930714","Pulse","Origin Daydream",41257
53,"13","69","1","Hypermage","11","13","8670","2329888","2753504","19433487","Flow","Origin Daydream",42114
54,"2","59","-1","Kairo","1","7","416","4447968","5718816","2806546","Flow","Origin Daydream",47996
55,"11","46","2","[BOSS]","2","14","7376","2118080","4659776","16627022","Hyper","Origin Daydream",47337
56,"13","64","2","Nightrose","14","28","6672","2965312","5930624","19592343","Flow","Origin Daydream",53388
57,"9","91","4","Dhampir","13","4","8555","6142432","4236160","13979418","Hyper","Origin Daydream",31601
58,"14","6","1","Hyphae","37","15","4340","7836896","3177120","20916148","Flow","Origin Daydream",29191
59,"8","58","0","Calyx","18","22","2924","6354240","7201472","11861338","Flow","Origin Daydream",9749
60,"10","49","2","[CUR2]","30","7","2365","8048704","3177120","15144362","Flow","Origin Daydream",36338
61,"12","35","-2","Palace","10","13","7412","5507008","6142432","17474259","Pulse","Origin Daydream",35957
62,"11","37","0","[DARK]","26","8","3285","7201472","3388928","16309310","Pulse","Origin Daydream",39722
63,"14","46","4","Holo","29","35","8514","6142432","7413280","21392716","Flow","Origin Daydream",22167
64,"7","65","-1","Mt Zuka","3","18","8904","3177120","6354240","10219826","Pulse","Origin Daydream",39265
65,"15","51","0","Pepo","21","14","5603","6989664","5507008","22239952","Pulse","Origin Daydream",46119
66,"8","64","1","Kippsun","6","22","8702","3812544","7201472","12020194","Flow","Origin Daydream",41350
67,"17","57","2","Alto","13","6","421","6142432","4659776","25522985","Pulse","Origin Daydream",51242
68,"3","30","0","Kairo","0","2","4610","4236160","4659776","4448058","Flow","Origin Daydream",51483
69,"6","2","2","Ender","9","2","8532","4447968","2965312","9213738","Pulse","Origin Daydream",32619
70,"13","56","0","Arc","38","9","8824","8048704","1906272","19274631","Flow","Origin Daydream",46353
71,"14","55","-4","Holo","34","8","9629","7201472","1694464","20121868","Flow","Origin Daydream",30007
72,"13","44","1","Hypermage","42","22","6743","8895936","4659776","19433487","Flow","Origin Daydream",47119
73,"14","71","0","Riso","20","32","3454","4236160","6777856","20757292","Flow","Origin Daydream",26279
